Misspelled Name,Correct Name
jzssi,jassi
ramyin,ramdin
najce,najre
swlti,switi
ampooti,amrooti
kimaz,kimat
shisa,shiva
canishakraj,kanishakraj
bhebav,bherav
pistp,pista
afrpz,afroz
sanchit,sanchit
rashab,rashab
binw,bina
wsiya,asiya
sudesv,sudesh
begrav,begraj
fazulld,fazulla
nameeta,nameeta
hnjrati,hajrati
pinkw,pinku
sunadi,sunali
sekbaj,sehbaj
prsanka,pryanka
rama,rada
anjaz,anjal
marzira,marzina
gslnaj,gulnaj
safhana,sabhana
haspm,hasim
rdhish,rahish
mevk,meva
laxmq,laxmi
shljiya,shajiya
hanju,sanju
suyita,sunita
somnayh,somnath
sarantheu,saranthem
shispa,shilpa
anovj,anooj
shjtal,shital
davendvr,davender
iyoty,jyoty
areita,armita
megna,megha
mhefdar,mhendar
kaifiva,kaifiya
paurav,gaurav
dakha,rakha
dhurpata,dhurpati
jtskirat,jaskirat
bacchu,bacchu
densingh,gensingh
gucanidhi,gunanidhi
gamtek,ramtek
jasmept,jasmeet
ashjan,ashman
erem,prem
rtyajuddin,riyajuddin
biela,bimla
brijial,brijpal
sarib,garib
bnjeev,anjeev
roqan,rohan
jqswinder,jaswinder
anekla,anekha
sbtendra,satendra
shahisca,shahista
motiial,motilal
sohgb,sohib
juqtin,justin
sunil,sunil
bhakay,bhagay
samana,sabana
scrika,sarika
bashis,aashis
adima,alima
harphita,harshita
harbpi,harbai
uulochna,sulochna
upasyna,upasana
sjmer,sumer
aqadh,avadh
vishanc,vishanu
saljai,sanjai
wur,gur
busuf,yusuf
urenvra,urendra
balchahd,balchand
rajneesa,rajneesh
mapgol,mangol
shailemder,shailender
gnvinda,govinda
mqsrat,musrat
gushmita,sushmita
curjit,surjit
sehnac,sehnaz
noorjaea,noorjama
ganpatgam,ganpatram
sabxa,sabra
prabhjzt,prabhjit
sakiuan,sakiran
pooja,pooja
shiru,shibu
omcarsad,omparsad
kavshma,karshma
jgnkidas,jankidas
mansai,manbai
mobarkar,mobarkar
deepanwer,deepanker
borab,sorab
natzulal,nathulal
sarjop,saroop
sukanyo,sukanya
vaijantq,vaijanti
veepgnchand,veepinchand
alhamdm,alhamdi
s/u,s/o
jiman,jiwan
hsrdik,hardik
ravecna,raveena
mahbndar,mahendar
kamwi,kamli
vimila,vimala
bfbi,bebi
dipendrv,dipendra
aaygsha,aayesha
harshita,harshita
raud,saud
fiirat,fitrat
masjula,manjula
hashlat,hashrat
purnwma,purnima
rapnihor,ramnihor
naimlddin,naimuddin
narbga,narbda
babupmri,babupuri
amrisw,amrish
nusarrat,musarrat
pynia,punia
avtad,avtar
shaiiya,shajiya
moshia,moshin
mcchael,michael
birmate,birmati
kmuslender,kauslender
aavpsh,aavesh
eeenu,reenu
ktran,kiran
zasab,rasab
nitmsh,nitish
suien,sujen
akhliuh,akhlish
birendir,birender
govinna,govinda
kiplo,viplo
arii,arif
tather,father
adqn,adan
daiad,dauad
gudri,guddi
mnhzbin,mahzbin
kjrma,karma
chandlakala,chandrakala
nankm,nanku
rumao,rumal
gobesh,gopesh
nareshpdl,nareshpal
vukesh,vikesh
oadhim,nadhim
razidh,razida
meyu,menu
kalt,kala
mnkan,makan
amarchanf,amarchand
raueshwari,rajeshwari
ahhlaq,akhlaq
sukhlat,sukhlal
lejlu,leelu
sukhvwer,sukhveer
kudhi,budhi
shisali,shifali
meenaxo,meenaxi
narendpr,narender
